,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
0,Mahindra,Thar LX D 4WD MT CONVERTIBLE,Manual,2020.0,Diesel,2184.0,11003.0,1st owner,1231000,23431.0,True,No,HR26,2020 Mahindra Thar LX D 4WD MT CONVERTIBLE
1,Hyundai,Verna 1.6 VTVT SX,Manual,2018.0,Petrol,1591.0,66936.0,1st owner,786000,15359.0,True,No,DL7C,2018 Hyundai Verna 1.6 VTVT SX
2,Tata,Harrier XT PLUS 2.0L KRYOTEC DARK EDITON,Manual,2022.0,Diesel,1956.0,27990.0,1st owner,1489000,28349.0,True,No,HR29,2022 Tata Harrier XT PLUS 2.0L KRYOTEC DARK EDITON
3,Honda,City 1.5L I-VTE V CVT,Automatic,2023.0,Petrol,1498.0,5061.0,1st owner,1227000,23355.0,True,Yes,DL4C,2023 Honda City 1.5L I-VTE V CVT
4,Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2021.0,Diesel,1498.0,23480.0,1st owner,887000,16883.0,True,No,UP14,2021 Ford Ecosport TITANIUM 1.5L DIESEL
5,Honda,WR-V 1.2L I-VTEC VX MT,Manual,2021.0,Petrol,1199.0,44787.0,1st owner,796000,15561.0,True,No,UP32,2021 Honda WR-V 1.2L I-VTEC VX MT
6,Tata,PUNCH CREATIVE  1.2 RTN DUAL TONE,Manual,2022.0,Petrol,1199.0,450.0,1st owner,813000,15475.0,True,Yes,DL3C,2022 Tata PUNCH CREATIVE  1.2 RTN DUAL TONE
8,Mahindra,XUV700 AX 7 LUXURY D AWD AT 7 STR,Automatic,2022.0,Diesel,2184.0,62567.0,1st owner,2322000,44197.0,True,No,DL10,2022 Mahindra XUV700 AX 7 LUXURY D AWD AT 7 STR
9,Ford,Ecosport TITANIUM + 1.5L PETROL AT,Automatic,2019.0,Petrol,1497.0,58503.0,1st owner,766000,14977.0,True,No,DL10,2019 Ford Ecosport TITANIUM + 1.5L PETROL AT
10,Maruti,Dzire LXI,Manual,2018.0,Petrol,1197.0,58159.0,1st owner,471000,9217.0,True,No,HR26,2018 Maruti Dzire LXI
11,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Manual,2023.0,Petrol,1197.0,15568.0,1st owner,689000,13470.0,True,No,DL9C,2023 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT
12,Tata,Tiago XE PETROL,Manual,2023.0,Petrol,1199.0,6676.0,1st owner,536000,10480.0,True,No,HR51,2023 Tata Tiago XE PETROL
14,Maruti,Alto K10 VXI,Manual,2018.0,Petrol,998.0,52966.0,1st owner,310000,6068.0,True,Yes,HR51,2018 Maruti Alto K10 VXI
15,Hyundai,Verna 1.6 CRDI SX,Manual,2020.0,Diesel,1582.0,60592.0,1st owner,993000,18901.0,True,Yes,HR29,2020 Hyundai Verna 1.6 CRDI SX
16,Maruti,Alto K10 VXI AMT,Automatic,2014.0,Petrol,998.0,71297.0,1st owner,265000,5901.0,True,No,DL3C,2014 Maruti Alto K10 VXI AMT
17,Honda,Amaze 1.2L I-VTEC S,Manual,2022.0,Petrol,1199.0,15935.0,1st owner,699000,13666.0,True,No,DL11,2022 Honda Amaze 1.2L I-VTEC S
18,KIA,SELTOS HTE 1.5 DIESEL,Manual,2021.0,Diesel,1493.0,71040.0,1st owner,980000,18653.0,True,No,HR98,2021 KIA SELTOS HTE 1.5 DIESEL
19,Hyundai,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Manual,2023.0,Petrol,1197.0,2850.0,1st owner,710000,13881.0,True,No,DL10,2023 Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT
20,MG,HECTOR SHARP 1.5 PETROL CVT,Automatic,2022.0,Petrol,1451.0,26999.0,1st owner,1652000,31444.0,True,No,DL12,2022 MG HECTOR SHARP 1.5 PETROL CVT
21,Tata,TIGOR XM PETROL,Manual,2023.0,Petrol,1199.0,12096.0,1st owner,590000,11529.0,True,No,HR76,2023 Tata TIGOR XM PETROL
22,Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017.0,Petrol,1497.0,65434.0,2nd owner,787000,15392.0,True,No,DL3C,2017 Honda City 1.5L I-VTEC ZX CVT
23,Hyundai,Verna SX 1.5 CRDI,Manual,2020.0,Diesel,1493.0,48995.0,1st owner,1060000,20176.0,True,Yes,HR26,2020 Hyundai Verna SX 1.5 CRDI
24,Ford,FREESTYLE TITANIUM PLUS 1.2 PETROL,Manual,2018.0,Petrol,1194.0,66584.0,1st owner,495000,9675.0,True,No,HR26,2018 Ford FREESTYLE TITANIUM PLUS 1.2 PETROL
25,Maruti,Ciaz S 1.5 MT PETROL,Manual,2020.0,Petrol,1462.0,24961.0,1st owner,878000,16712.0,True,No,HR26,2020 Maruti Ciaz S 1.5 MT PETROL
26,Maruti,Dzire LXI,Manual,2019.0,Petrol,1197.0,33972.0,1st owner,514000,10041.0,True,No,DL9C,2019 Maruti Dzire LXI
27,Tata,Tiago XZ PLUS CNG,Manual,2022.0,CNG,1199.0,22874.0,1st owner,684000,13367.0,True,No,HR98,2022 Tata Tiago XZ PLUS CNG
28,Maruti,Dzire ZXI PLUS,Manual,2019.0,Petrol,1197.0,109938.0,1st owner,584000,12996.0,True,Yes,DL3C,2019 Maruti Dzire ZXI PLUS
29,Maruti,Alto LXI O,Manual,2019.0,Petrol,796.0,60452.0,1st owner,316000,6174.0,True,No,DL8C,2019 Maruti Alto LXI O
30,Maruti,Celerio VXI AMT,Automatic,2016.0,Petrol,998.0,32747.0,1st owner,394000,7708.0,True,Yes,DL8C,2016 Maruti Celerio VXI AMT
31,KIA,CARENS LUXURY PLUS 1.5 DIESEL AT 7 STR,Automatic,2022.0,Diesel,1493.0,34694.0,1st owner,1654000,31482.0,True,No,HR36,2022 KIA CARENS LUXURY PLUS 1.5 DIESEL AT 7 STR
32,Maruti,IGNIS DELTA 1.2,Manual,2019.0,Petrol,1197.0,51244.0,1st owner,472000,9224.0,True,Yes,DL4C,2019 Maruti IGNIS DELTA 1.2
33,Renault,TRIBER RXL MT,Manual,2023.0,Petrol,999.0,6843.0,1st owner,636000,12428.0,True,No,HR98,2023 Renault TRIBER RXL MT
34,Ford,Ecosport TITANIUM 1.5L PETROL AT,Automatic,2019.0,Petrol,1496.0,20751.0,1st owner,806000,15342.0,True,No,DL1C,2019 Ford Ecosport TITANIUM 1.5L PETROL AT
35,Tata,PUNCH ADVENTURE RHYTHM PACK AMT,Automatic,2023.0,Petrol,1199.0,16393.0,1st owner,668000,13056.0,True,Yes,DL9C,2023 Tata PUNCH ADVENTURE RHYTHM PACK AMT
36,Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017.0,Petrol,1497.0,74671.0,1st owner,832000,15836.0,True,No,HR26,2017 Honda City 1.5L I-VTEC ZX CVT
37,Hyundai,Verna 1.6 VTVT SX O,Manual,2017.0,Petrol,1591.0,94020.0,1st owner,819000,15592.0,True,No,DL7C,2017 Hyundai Verna 1.6 VTVT SX O
38,Mahindra,XUV500 W7 AT,Automatic,2021.0,Diesel,2179.0,25366.0,1st owner,1400000,26644.0,True,No,HR29,2021 Mahindra XUV500 W7 AT
39,Maruti,S PRESSO VXI CNG,Manual,2020.0,CNG,998.0,75502.0,1st owner,432000,8447.0,True,No,DL11,2020 Maruti S PRESSO VXI CNG
40,Tata,NEXON XZ PLUS PETROL,Manual,2022.0,Petrol,1199.0,22894.0,1st owner,941000,17911.0,True,Yes,DL9C,2022 Tata NEXON XZ PLUS PETROL
41,Tata,Tiago XZ PETROL,Manual,2020.0,Petrol,1199.0,42313.0,2nd owner,456000,8911.0,True,No,HR26,2020 Tata Tiago XZ PETROL
42,Tata,ALTROZ XT PETROL,Manual,2020.0,Petrol,1199.0,58047.0,1st owner,590000,11543.0,True,No,DL2C,2020 Tata ALTROZ XT PETROL
43,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2018.0,Petrol,1462.0,76120.0,1st owner,721000,14096.0,True,Yes,DL3C,2018 Maruti Ciaz ALPHA 1.5 SHVS PETROL
44,Hyundai,Xcent SX 1.2,Manual,2017.0,Petrol,1197.0,60964.0,1st owner,449000,8781.0,True,No,UP14,2017 Hyundai Xcent SX 1.2
45,Tata,Tiago XT (O) PETROL,Manual,2023.0,Petrol,1199.0,17297.0,1st owner,574000,11231.0,True,No,DL3C,2023 Tata Tiago XT (O) PETROL
46,Renault,TRIBER RXZ,Manual,2020.0,Petrol,999.0,34646.0,1st owner,594000,11618.0,True,No,HR51,2020 Renault TRIBER RXZ
47,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,2018.0,Petrol,1462.0,45254.0,2nd owner,687000,13431.0,True,No,HR51,2018 Maruti Ciaz DELTA AT 1.5 SHVS PETROL
48,Maruti,Ciaz ZETA AT 1.5  SHVS PETROL,Automatic,2022.0,Petrol,1462.0,24062.0,1st owner,1041000,19810.0,True,No,DL8C,2022 Maruti Ciaz ZETA AT 1.5  SHVS PETROL
49,Hyundai,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Manual,2016.0,Petrol,1197.0,28221.0,1st owner,456000,8921.0,True,No,DL8C,2016 Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT
50,Maruti,XL6 ALPHA PLUS MT,Manual,2022.0,Petrol,1462.0,43830.0,1st owner,1196000,22765.0,True,No,HR98,2022 Maruti XL6 ALPHA PLUS MT
51,Maruti,Wagon R 1.0 VXI AMT,Automatic,2016.0,Petrol,998.0,21218.0,1st owner,375000,7322.0,True,No,DL12,2016 Maruti Wagon R 1.0 VXI AMT
52,Hyundai,NEW SANTRO SPORTZ CNG,Manual,2020.0,CNG,1086.0,62996.0,1st owner,504000,9845.0,True,Yes,DL1C,2020 Hyundai NEW SANTRO SPORTZ CNG
53,Maruti,XL6 ALPHA PLUS AT,Automatic,2022.0,Petrol,1462.0,40395.0,2nd owner,1152000,21927.0,True,No,HR26,2022 Maruti XL6 ALPHA PLUS AT
54,Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2017.0,Petrol,1197.0,42752.0,1st owner,567000,11085.0,True,No,DL10,2017 Maruti Baleno ZETA CVT PETROL 1.2
55,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2019.0,Petrol,1462.0,59733.0,1st owner,751000,14682.0,True,No,HR12,2019 Maruti Ciaz ALPHA 1.5 SHVS PETROL
56,Maruti,Ciaz ALPHA 1.4 PETROL,Manual,2017.0,Petrol,1373.0,92389.0,1st owner,607000,11862.0,True,No,DL9C,2017 Maruti Ciaz ALPHA 1.4 PETROL
57,Hyundai,VENUE SX 1.0 (O) TURBO,Manual,2020.0,Petrol,998.0,36125.0,1st owner,864000,16445.0,True,No,HR26,2020 Hyundai VENUE SX 1.0 (O) TURBO
58,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2020.0,Petrol,1462.0,26202.0,1st owner,825000,15703.0,True,No,DL2C,2020 Maruti Ciaz ALPHA 1.5 SHVS PETROL
59,Volkswagen,VIRTUS COMFORTLINE TSI 1.0 MT,Manual,2022.0,Petrol,999.0,27653.0,1st owner,918000,17473.0,True,No,HR26,2022 Volkswagen VIRTUS COMFORTLINE TSI 1.0 MT
60,Honda,City 1.5L I-VTEC SV CVT,Automatic,2016.0,Petrol,1497.0,61033.0,2nd owner,572000,11173.0,True,No,HR26,2016 Honda City 1.5L I-VTEC SV CVT
61,KIA,SONET HTK PLUS 1.2,Manual,2023.0,Petrol,1197.0,7907.0,1st owner,898000,17093.0,True,Yes,DL12,2023 KIA SONET HTK PLUS 1.2
62,MG,HECTOR SUPER 1.5 PETROL,Manual,2020.0,Petrol,1451.0,26793.0,1st owner,1135000,21604.0,True,No,HR26,2020 MG HECTOR SUPER 1.5 PETROL
63,Volkswagen,VIRTUS HIGHLINE TSI 1.0 AT,Automatic,2023.0,Petrol,999.0,9083.0,1st owner,1383000,26324.0,True,No,HR98,2023 Volkswagen VIRTUS HIGHLINE TSI 1.0 AT
64,Tata,Tiago XT PETROL,Manual,2018.0,Petrol,1199.0,50015.0,2nd owner,371000,7245.0,True,No,DL5C,2018 Tata Tiago XT PETROL
65,Nissan,MAGNITE XE,Manual,2022.0,Petrol,999.0,22517.0,1st owner,562000,10981.0,True,No,DL3C,2022 Nissan MAGNITE XE
66,Skoda,Rapid AMBITION 1.6 MPI AT,Automatic,2017.0,Petrol,1598.0,100001.0,2nd owner,546000,12153.0,True,No,HR26,2017 Skoda Rapid AMBITION 1.6 MPI AT
67,Maruti,Swift VXI,Manual,2023.0,Petrol,1197.0,14887.0,1st owner,638000,12473.0,True,No,HR87,2023 Maruti Swift VXI
68,Honda,Amaze 1.2L I-VTEC S,Manual,2020.0,Petrol,1199.0,48004.0,2nd owner,493000,9638.0,True,No,DL8C,2020 Honda Amaze 1.2L I-VTEC S
69,Maruti,Ertiga LXI,Manual,2012.0,Petrol,1373.0,52706.0,2nd owner,330000,10958.0,True,No,DL3C,2012 Maruti Ertiga LXI
70,Toyota,YARIS G MT,Manual,2020.0,Petrol,1496.0,37628.0,1st owner,803000,15287.0,True,No,UP32,2020 Toyota YARIS G MT
71,Datsun,Go Plus T (O),Manual,2018.0,CNG,1198.0,23055.0,2nd owner,331000,6471.0,True,No,DL8C,2018 Datsun Go Plus T (O)
72,Maruti,Alto K10 LXI,Manual,2023.0,Petrol,998.0,14943.0,1st owner,445000,8700.0,True,No,DL14,2023 Maruti Alto K10 LXI
73,Nissan,MAGNITE XE,Manual,2022.0,Petrol,999.0,20338.0,1st owner,548000,10714.0,True,No,HR30,2022 Nissan MAGNITE XE
75,Mahindra,KUV 100 NXT K2+ P 6 STR,Manual,2020.0,Petrol,1198.0,19376.0,1st owner,474000,9269.0,True,Yes,DL8C,2020 Mahindra KUV 100 NXT K2+ P 6 STR
76,Nissan,MAGNITE XE,Manual,2022.0,Petrol,999.0,31760.0,1st owner,556000,10879.0,True,No,DL14,2022 Nissan MAGNITE XE
77,Mahindra,XUV700 AX 5 P MT 7 STR,Manual,2021.0,Petrol,1997.0,37303.0,1st owner,1473000,28037.0,True,Yes,DL8C,2021 Mahindra XUV700 AX 5 P MT 7 STR
78,Maruti,Baleno DELTA PETROL 1.2,Manual,2022.0,Petrol,1197.0,25782.0,1st owner,657000,12844.0,True,No,HR30,2022 Maruti Baleno DELTA PETROL 1.2
79,Hyundai,VENUE SX 1.2 PETROL,Manual,2022.0,Petrol,1197.0,25523.0,1st owner,909000,17293.0,True,No,DL9C,2022 Hyundai VENUE SX 1.2 PETROL
80,Hyundai,Creta EX 1.5 PETROL,Manual,2022.0,Petrol,1497.0,19352.0,1st owner,1103000,20995.0,True,Yes,DL5C,2022 Hyundai Creta EX 1.5 PETROL
81,Honda,City 1.5L I-VTEC ZX,Manual,2021.0,Petrol,1498.0,28398.0,1st owner,1078000,20519.0,True,No,HR36,2021 Honda City 1.5L I-VTEC ZX
82,Maruti,Dzire LXI,Manual,2017.0,Petrol,1197.0,22148.0,1st owner,467000,9128.0,True,No,DL5C,2017 Maruti Dzire LXI
83,Hyundai,Verna FLUIDIC 1.6 VTVT EX,Manual,2013.0,Petrol,1591.0,75331.0,1st owner,378000,9943.0,True,No,DL8C,2013 Hyundai Verna FLUIDIC 1.6 VTVT EX
84,Honda,Amaze 1.2L I-VTEC S,Manual,2020.0,Petrol,1199.0,52036.0,1st owner,573000,11202.0,True,No,HR26,2020 Honda Amaze 1.2L I-VTEC S
85,Maruti,Swift ZXI PLUS,Manual,2022.0,Petrol,1197.0,24626.0,1st owner,757000,14792.0,True,No,DL3C,2022 Maruti Swift ZXI PLUS
86,Maruti,Vitara Brezza VDI AMT,Automatic,2019.0,Diesel,1248.0,86677.0,1st owner,632000,14068.0,True,Yes,DL9C,2019 Maruti Vitara Brezza VDI AMT
87,Nissan,MAGNITE XL,Manual,2022.0,Petrol,999.0,18222.0,1st owner,614000,12007.0,True,Yes,DL3C,2022 Nissan MAGNITE XL
88,Honda,City 1.5L I-VTEC ZX,Manual,2021.0,Petrol,1498.0,5404.0,1st owner,1251000,23807.0,True,Yes,DL4C,2021 Honda City 1.5L I-VTEC ZX
89,Maruti,Baleno ZETA PETROL 1.2,Manual,2020.0,Petrol,1197.0,72471.0,2nd owner,572000,11192.0,True,No,HR70,2020 Maruti Baleno ZETA PETROL 1.2
90,Renault,Kwid CLIMBER 1.0 AMT,Automatic,2017.0,Petrol,999.0,47819.0,2nd owner,292000,5709.0,True,No,DL8C,2017 Renault Kwid CLIMBER 1.0 AMT
91,Volkswagen,Ameo HIGHLINE PLUS 1.0L 16 ALLOY,Manual,2018.0,Petrol,999.0,40904.0,1st owner,471000,9208.0,True,No,DL12,2018 Volkswagen Ameo HIGHLINE PLUS 1.0L 16 ALLOY
92,Maruti,Celerio VXI,Manual,2022.0,Petrol,998.0,12708.0,1st owner,494000,9658.0,True,No,HR51,2022 Maruti Celerio VXI
93,Nissan,MAGNITE XE,Manual,2022.0,Petrol,999.0,36341.0,1st owner,551000,10772.0,True,Yes,HR51,2022 Nissan MAGNITE XE
94,Maruti,IGNIS DELTA 1.2,Manual,2022.0,Petrol,1197.0,17745.0,1st owner,525000,10258.0,True,Yes,DL9C,2022 Maruti IGNIS DELTA 1.2
95,Nissan,MAGNITE XE,Manual,2021.0,Petrol,999.0,30455.0,1st owner,522000,10205.0,True,Yes,DL8C,2021 Nissan MAGNITE XE
96,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2018.0,Petrol,1197.0,40398.0,1st owner,396000,7742.0,True,No,UP25,2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
97,Maruti,Wagon R 1.0 VXI+,Manual,2017.0,Petrol,998.0,60446.0,1st owner,350000,6851.0,True,No,DL1C,2017 Maruti Wagon R 1.0 VXI+
98,Renault,Kwid RXT 1.0 (O),Manual,2016.0,Petrol,999.0,20709.0,1st owner,262000,5126.0,True,No,DL1C,2016 Renault Kwid RXT 1.0 (O)
99,Honda,City 1.5L I-VTEC SV,Manual,2017.0,Petrol,1497.0,78608.0,1st owner,578000,11300.0,True,Yes,DL3C,2017 Honda City 1.5L I-VTEC SV
100,Datsun,Redi Go A,Manual,2018.0,Petrol,799.0,84695.0,1st owner,207000,4039.0,True,No,UP14,2018 Datsun Redi Go A
101,Maruti,Wagon R 1.0 LXI CNG,Manual,2018.0,CNG,998.0,56257.0,1st owner,367000,7175.0,True,Yes,HR26,2018 Maruti Wagon R 1.0 LXI CNG
102,Maruti,Swift ZXI PLUS,Manual,2018.0,Petrol,1197.0,27356.0,2nd owner,569000,11122.0,True,No,DL8C,2018 Maruti Swift ZXI PLUS
103,Maruti,Ciaz DELTA DIESEL 1.5,Manual,2019.0,Diesel,1498.0,61329.0,1st owner,702000,15616.0,True,No,HR05,2019 Maruti Ciaz DELTA DIESEL 1.5
104,Hyundai,VENUE S 1.4 CRDI,Manual,2020.0,Diesel,1396.0,46446.0,1st owner,734000,14357.0,True,No,HR26,2020 Hyundai VENUE S 1.4 CRDI
105,Renault,Kwid CLIMBER 1.0 AMT,Automatic,2017.0,Petrol,999.0,41308.0,3rd owner,285000,5580.0,True,No,HR31,2017 Renault Kwid CLIMBER 1.0 AMT
106,Tata,Tiago XT PETROL,Manual,2018.0,Petrol,1199.0,94259.0,1st owner,384000,7506.0,True,Yes,UP16,2018 Tata Tiago XT PETROL
107,Honda,Jazz 1.2L I-VTEC V,Manual,2016.0,Petrol,1199.0,79166.0,1st owner,382000,7461.0,True,No,HR51,2016 Honda Jazz 1.2L I-VTEC V
108,Hyundai,NEW SANTRO SPORTZ MT,Manual,2019.0,Petrol,1086.0,61839.0,2nd owner,397000,7761.0,True,Yes,DL10,2019 Hyundai NEW SANTRO SPORTZ MT
109,Maruti,Baleno SIGMA PETROL 1.2,Manual,2020.0,Petrol,1197.0,46628.0,1st owner,522000,10205.0,True,No,HR16,2020 Maruti Baleno SIGMA PETROL 1.2
110,Maruti,Wagon R 1.0 LXI CNG,Manual,2018.0,CNG,998.0,87192.0,1st owner,374000,7317.0,True,Yes,DL2C,2018 Maruti Wagon R 1.0 LXI CNG
111,Tata,NEXON XM SUNROOF DIESEL,Manual,2022.0,Diesel,1497.0,45834.0,1st owner,804000,15299.0,True,No,HR51,2022 Tata NEXON XM SUNROOF DIESEL
112,Maruti,IGNIS DELTA 1.2,Manual,2022.0,Petrol,1197.0,18015.0,1st owner,528000,10323.0,True,Yes,HR10,2022 Maruti IGNIS DELTA 1.2
113,Tata,NEXON XM SUNROOF DIESEL,Manual,2020.0,Diesel,1497.0,52276.0,1st owner,718000,14045.0,True,No,DL9C,2020 Tata NEXON XM SUNROOF DIESEL
114,Ford,FREESTYLE TITANIUM 1.2 PETROL,Manual,2018.0,Petrol,1194.0,87411.0,2nd owner,442000,8634.0,True,Yes,DL2C,2018 Ford FREESTYLE TITANIUM 1.2 PETROL
115,Maruti,IGNIS DELTA 1.2,Manual,2019.0,Petrol,1197.0,47484.0,1st owner,431000,8416.0,True,No,HR51,2019 Maruti IGNIS DELTA 1.2
116,Hyundai,VENUE S 1.2,Manual,2021.0,Petrol,1197.0,19866.0,1st owner,765000,14949.0,True,Yes,HR29,2021 Hyundai VENUE S 1.2
117,Maruti,Alto K10 VXI,Manual,2023.0,Petrol,998.0,21607.0,1st owner,467000,9130.0,True,No,DL7C,2023 Maruti Alto K10 VXI
118,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2015.0,Petrol,1197.0,62536.0,1st owner,311000,6080.0,True,No,HR26,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
119,MG,HECTOR SHARP 2.0 DIESEL,Manual,2019.0,Diesel,1956.0,33306.0,1st owner,1286000,27961.0,True,No,DL8C,2019 MG HECTOR SHARP 2.0 DIESEL
120,Hyundai,Creta SX AT 1.6 DIESEL,Automatic,2019.0,Diesel,1582.0,67168.0,1st owner,1037000,22547.0,True,Yes,HR26,2019 Hyundai Creta SX AT 1.6 DIESEL
121,Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2019.0,Diesel,1498.0,27603.0,3rd owner,670000,14904.0,True,Yes,DL10,2019 Ford Ecosport TITANIUM 1.5L DIESEL
122,Maruti,Baleno ZETA PETROL 1.2,Manual,2020.0,Petrol,1197.0,36323.0,2nd owner,652000,12749.0,True,Yes,DL10,2020 Maruti Baleno ZETA PETROL 1.2
123,Hyundai,Tucson 2WD MT PETROL,Manual,2018.0,Petrol,1999.0,43368.0,1st owner,1225000,23315.0,True,No,HR26,2018 Hyundai Tucson 2WD MT PETROL
124,Hyundai,Creta S 1.4 DIESEL,Manual,2019.0,Diesel,1396.0,51919.0,2nd owner,815000,17720.0,True,No,UP14,2019 Hyundai Creta S 1.4 DIESEL
125,Maruti,Ciaz ZETA 1.5 SHVS MT PETROL,Manual,2022.0,Petrol,1462.0,15994.0,1st owner,872000,16598.0,True,Yes,UP16,2022 Maruti Ciaz ZETA 1.5 SHVS MT PETROL
126,Honda,City 1.5L I-VTEC V MT,Manual,2016.0,Petrol,1497.0,72308.0,1st owner,523000,10225.0,True,No,DL7C,2016 Honda City 1.5L I-VTEC V MT
127,Honda,Amaze 1.2L I-VTEC S,Manual,2018.0,Petrol,1199.0,27051.0,1st owner,515000,10068.0,True,Yes,HR51,2018 Honda Amaze 1.2L I-VTEC S
128,Tata,TIAGO NRG PETROL,Manual,2018.0,Petrol,1199.0,35764.0,1st owner,421000,8231.0,True,No,DL6C,2018 Tata TIAGO NRG PETROL
129,Renault,Kiger RXZ TURBO MT,Manual,2021.0,Petrol,999.0,46375.0,2nd owner,654000,12788.0,True,No,DL7C,2021 Renault Kiger RXZ TURBO MT
131,MG,HECTOR SMART 1.5 DCT PETROL,Automatic,2019.0,Petrol,1451.0,14172.0,1st owner,1288000,24514.0,True,No,DL1C,2019 MG HECTOR SMART 1.5 DCT PETROL
132,Maruti,Baleno DELTA PETROL 1.2,Manual,2020.0,Petrol,1197.0,27841.0,1st owner,581000,11368.0,True,No,DL5C,2020 Maruti Baleno DELTA PETROL 1.2
133,Tata,Safari XZ,Manual,2021.0,Diesel,1956.0,30203.0,1st owner,1546000,29427.0,True,Yes,DL12,2021 Tata Safari XZ
134,Maruti,IGNIS SIGMA 1.2,Manual,2021.0,Petrol,1197.0,25742.0,1st owner,476000,9306.0,True,No,HR26,2021 Maruti IGNIS SIGMA 1.2
135,Honda,Amaze 1.2L I-VTEC S,Manual,2015.0,Petrol,1198.0,91116.0,2nd owner,320000,6264.0,True,No,HR26,2015 Honda Amaze 1.2L I-VTEC S
136,Tata,ALTROZ XZ PETROL,Manual,2020.0,Petrol,1199.0,30274.0,2nd owner,595000,11630.0,True,No,DL9C,2020 Tata ALTROZ XZ PETROL
137,Renault,Kiger RXZ AMT,Automatic,2021.0,Petrol,999.0,30195.0,1st owner,711000,13904.0,True,No,HR51,2021 Renault Kiger RXZ AMT
138,KIA,SELTOS HTK PLUS 1.5 IMT,Manual,2022.0,Petrol,1497.0,51566.0,1st owner,1162000,22113.0,True,No,HR98,2022 KIA SELTOS HTK PLUS 1.5 IMT
139,KIA,SONET HTK PLUS 1.0 IMT,Manual,2022.0,Petrol,998.0,4763.0,1st owner,981000,18672.0,True,Yes,HR98,2022 KIA SONET HTK PLUS 1.0 IMT
140,Hyundai,NEW I20 ASTA (O) 1.2 MT,Manual,2023.0,Petrol,1197.0,20051.0,1st owner,890000,16940.0,True,Yes,DL7C,2023 Hyundai NEW I20 ASTA (O) 1.2 MT
141,Volkswagen,Polo COMFORTLINE 1.0L MPI,Manual,2019.0,Petrol,999.0,68763.0,1st owner,534000,10440.0,True,Yes,DL12,2019 Volkswagen Polo COMFORTLINE 1.0L MPI
142,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2015.0,Petrol,1197.0,63079.0,3rd owner,307000,6002.0,True,No,DL10,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
143,Maruti,S Cross SIGMA 1.5,Manual,2022.0,Petrol,1462.0,15983.0,1st owner,852000,16217.0,True,No,HR51,2022 Maruti S Cross SIGMA 1.5
144,Maruti,Baleno ZETA PETROL 1.2,Manual,2020.0,Petrol,1197.0,55790.0,1st owner,626000,12239.0,True,Yes,DL8C,2020 Maruti Baleno ZETA PETROL 1.2
145,KIA,SELTOS HTK PLUS 1.5 IMT,Manual,2021.0,Petrol,1497.0,38307.0,1st owner,1058000,20138.0,True,No,DL9C,2021 KIA SELTOS HTK PLUS 1.5 IMT
146,Nissan,MAGNITE XV TURBO CVT,Automatic,2022.0,Petrol,999.0,18193.0,2nd owner,836000,15911.0,True,No,UP16,2022 Nissan MAGNITE XV TURBO CVT
147,Hyundai,VENUE SX 1.0 (O) TURBO,Manual,2019.0,Petrol,998.0,57649.0,2nd owner,729000,14252.0,True,No,DL9C,2019 Hyundai VENUE SX 1.0 (O) TURBO
148,Honda,Amaze 1.2L I-VTEC VX CVT,Automatic,2023.0,Petrol,1199.0,8376.0,1st owner,816000,15529.0,True,No,HR26,2023 Honda Amaze 1.2L I-VTEC VX CVT
149,Renault,TRIBER RXT,Manual,2022.0,Petrol,999.0,13196.0,1st owner,690000,13480.0,True,No,DL12,2022 Renault TRIBER RXT
150,Maruti,Ertiga VXI,Manual,2012.0,Petrol,1373.0,54751.0,1st owner,407000,13522.0,True,No,DL5C,2012 Maruti Ertiga VXI
151,Datsun,Go Plus A(O),Manual,2019.0,Petrol,1198.0,27695.0,1st owner,400000,7826.0,True,No,UP14,2019 Datsun Go Plus A(O)
152,Honda,City 1.5L I-VTEC SV,Manual,2017.0,Petrol,1497.0,102835.0,1st owner,608000,13525.0,True,Yes,DL14,2017 Honda City 1.5L I-VTEC SV
