,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
598,Tata,NEXON XZ PLUS DIESEL SUNROOF,Manual,2020.0,Diesel,1497.0,25672.0,1st owner,938000,17854.0,True,No,HR98,2020 Tata NEXON XZ PLUS DIESEL SUNROOF
599,Maruti,Alto 800 LXI,Manual,2016.0,Petrol,796.0,49442.0,1st owner,234000,4575.0,True,No,UP81,2016 Maruti Alto 800 LXI
600,Tata,NEXON XZ PLUS PETROL,Manual,2022.0,Petrol,1199.0,30719.0,1st owner,831000,15819.0,True,No,HR98,2022 Tata NEXON XZ PLUS PETROL
601,Maruti,Swift LXI (O),Manual,2017.0,CNG,1197.0,88225.0,1st owner,407000,7957.0,True,No,HR51,2017 Maruti Swift LXI (O)
602,Mahindra,XUV500 W9 AT,Automatic,2019.0,Diesel,2179.0,47525.0,2nd owner,1119000,24330.0,True,Yes,DL8C,2019 Mahindra XUV500 W9 AT
603,Maruti,Wagon R 1.0 LXI,Manual,2014.0,Petrol,998.0,57918.0,2nd owner,251000,5583.0,True,No,DL5C,2014 Maruti Wagon R 1.0 LXI
604,Maruti,Baleno ALPHA CVT PETROL 1.2,Automatic,2019.0,Petrol,1197.0,47915.0,2nd owner,627000,12258.0,True,No,DL10,2019 Maruti Baleno ALPHA CVT PETROL 1.2
605,Maruti,Alto K10 VXI (O) AMT,Automatic,2017.0,Petrol,998.0,49080.0,1st owner,322000,6295.0,True,Yes,UP16,2017 Maruti Alto K10 VXI (O) AMT
606,Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2021.0,Petrol,1197.0,39272.0,2nd owner,710000,13877.0,True,No,HR26,2021 Maruti Baleno ZETA CVT PETROL 1.2
607,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,2017.0,Petrol,1197.0,52658.0,1st owner,477000,9318.0,True,No,DL12,2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT
608,Maruti,Celerio VXI AMT,Automatic,2016.0,Petrol,998.0,68891.0,1st owner,360000,7044.0,True,Yes,DL9C,2016 Maruti Celerio VXI AMT
609,Honda,Jazz 1.2L I-VTEC V,Manual,2018.0,Petrol,1199.0,44929.0,1st owner,513000,10024.0,True,Yes,UP14,2018 Honda Jazz 1.2L I-VTEC V
610,Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,2020.0,CNG,998.0,65103.0,1st owner,494000,9658.0,True,No,HR81,2020 Maruti New Wagon-R LXI CNG (O) 1.0
611,Hyundai,Xcent S (O) 1.2,Manual,2014.0,Petrol,1197.0,89712.0,2nd owner,297000,6607.0,True,Yes,DL3C,2014 Hyundai Xcent S (O) 1.2
612,Tata,NEXON XZA PLUS SUNROOF PETROL,Automatic,2021.0,Petrol,1199.0,43545.0,1st owner,912000,17359.0,True,Yes,UP16,2021 Tata NEXON XZA PLUS SUNROOF PETROL
613,Toyota,Etios VX,Manual,2011.0,Petrol,1496.0,71433.0,1st owner,232000,10921.0,True,No,DL4C,2011 Toyota Etios VX
614,Maruti,Baleno ZETA PETROL 1.2,Manual,2020.0,Petrol,1197.0,58514.0,1st owner,626000,12230.0,True,Yes,DL2C,2020 Maruti Baleno ZETA PETROL 1.2
615,Honda,Amaze 1.2L I-VTEC VX,Manual,2015.0,Petrol,1198.0,115667.0,1st owner,368000,8185.0,True,No,DL1C,2015 Honda Amaze 1.2L I-VTEC VX
616,Maruti,Dzire LXI,Manual,2019.0,Petrol,1197.0,29453.0,1st owner,519000,10146.0,True,No,DL9C,2019 Maruti Dzire LXI
617,Datsun,Redi Go T(O) 1.0,Manual,2020.0,Petrol,999.0,39841.0,1st owner,342000,6695.0,True,No,UP16,2020 Datsun Redi Go T(O) 1.0
618,Renault,TRIBER RXZ AMT,Automatic,2021.0,Petrol,999.0,24365.0,1st owner,679000,13265.0,True,No,HR26,2021 Renault TRIBER RXZ AMT
620,Honda,City 1.5L I-VTEC V MT,Manual,2015.0,CNG,1497.0,77885.0,1st owner,565000,14873.0,True,Yes,DL13,2015 Honda City 1.5L I-VTEC V MT
